file_path,label,frames,created_at
dynamic_dataset\A\A_staticconv_20260806_231949_6ed7fbfc.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_83a384e7.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_5e2d453d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f7cbfe83.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_66353b60.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d7c475be.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3d30467d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_4fdfb6be.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_e0f1b783.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_94baf716.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_56b3ca00.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_1e8e6dd5.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_44f72e51.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_1656ba95.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_b6222ca7.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_9e52352e.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_55f11331.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_167d2b0f.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3ec34832.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8c0ee3c2.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_c10d6abc.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_377f7aa0.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_5172cdd0.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f1e4bfb7.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_1a995cf8.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_79dcb2a8.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_245725f4.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_ab976bd6.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_9b58eaa1.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_59c628be.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_93f5e471.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_2ca79bd9.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3e2906be.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_97490d55.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f2671a36.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_888714c9.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f9ccf4d7.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_ff960810.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f0d1e515.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_22ed6bbb.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_ec9caa2a.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_69f58a57.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_55b9d138.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_2e98aca0.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_e972611b.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_820ab15e.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d1758839.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3bd65d79.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8e5808bd.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_9910d139.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_9dd40c4b.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_0a08e966.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_372480d2.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_e6660c5f.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d8848a54.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_1dc722a2.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_64e7efef.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_cf41f45e.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_c7d49c05.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8384d38d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a2e9c144.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_5d43f5ff.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8f47686c.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_97a4b880.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_b35fe3a1.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_2d7d8ad3.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_26bdd058.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_31d2094a.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_55004708.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_4850476d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8559055c.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_38e5c62c.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f1bd36e5.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d45c1571.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_e03c83aa.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_be523eed.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_fe6d0782.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_2f8f7dee.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_c3ff9022.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_1ae9743a.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_b688d2ed.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_920b6ee0.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_1527809f.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_924f5aee.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3a68fab0.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_45943567.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d5eb7216.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8b7c5e75.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_33431c5a.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_0bc34a5f.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_15fd8fe8.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_ffb4a887.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_509c1897.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_b2283464.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_ebe539d1.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_110e8b2d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_cdf501d0.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_9a905ffd.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_4990af65.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_0795e8f9.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_054785f4.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_db08fa45.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_92d96d4a.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_e04b2338.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_2d2e2011.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8ad7a2c6.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_de4440ff.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a0418575.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_dcf5ac44.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d2f6c0da.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_362e1d5b.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_9585115f.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f4a4133e.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_ad501c51.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_fb65ac5d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_c0ffbd30.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_6201e18e.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a9158809.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_1db47704.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_4c429c06.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_ae0d5a99.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_38912881.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_dfac71aa.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_9bbd9dd7.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f0ac0a88.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_cb98ef92.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_6f317b73.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f3fd0ac1.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_c0dbfaba.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_2c01067d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_5ef65d76.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_aa7ef512.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_41056a38.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a43aa334.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_528c39bc.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_e5744231.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_285d5eeb.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d46c531e.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_95d3da2d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_b5adc986.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_b63ec3bb.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_913b9f34.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_e710d24f.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3c2c8022.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_e2ab8349.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_04bfcb31.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_87b34203.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_882ccd58.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_cdb2ff02.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_b8bf46b4.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8525a108.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_1f035f1e.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_376e29f6.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a24b186b.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3f1ed0d9.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_5df8f464.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_6014f740.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_986f8427.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_ee687a8a.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3fae00c8.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_67f91563.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_4140e1a7.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3cfd0404.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a7477748.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_03db7b11.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_730b91d2.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_5cc79b89.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_b7c7907f.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_13abb4ab.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f228d6b2.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_4b585dbe.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_834fa35b.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8189e2f8.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3ab33bbd.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_0ec2337d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8b3f8db6.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_0c9f8042.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_5ae012d2.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_175da9e1.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a3b17f6a.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_5a463987.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_848b54b6.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a997d5b6.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_b28eaea7.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_fba494ab.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_418577a1.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_2fcf3417.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a79deba9.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_69cc2aad.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_5e66993b.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_fbfd9f5e.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_21f4a9d8.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_56cfb79e.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_540b97f0.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_4b950f15.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_08bf2f5f.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_014a6ebd.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_27dccbca.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_b8f3ba0a.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_209ed040.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_82471d2f.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d2954f70.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_88bae2c5.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d574d255.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3006fc94.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_1666089a.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_c60fdfde.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_84a949a6.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_37da3548.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_1a099f79.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3bc21f24.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_92c96713.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8d51100b.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_06fbf9ba.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_5d32b0d4.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_e0569118.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_451ad690.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_1ba0fa77.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_aca79ed6.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_dd89695c.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_215c2ae0.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_02076e69.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f13d1dd7.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d47224b3.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a2481e77.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_719ca16a.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_41a4649b.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8eaa3b2a.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_9d154dc3.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_0df011d6.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d3996b96.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_6eefb9b5.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_4985f81b.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_b8c577e3.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a71fa755.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_925c7db2.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_34a59af3.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_ed862327.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_db45e27d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_41c1d654.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_052da1c1.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d00a801c.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f153b993.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8aae5a0d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_0c2dee1d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_87460505.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3ffd0e2c.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_846506e2.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_d3094b82.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_8ba0e9ed.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_58260c1d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_2a0567e0.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_4d67dbf5.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_e12b3430.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_318fe240.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_2dcd64cb.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_f19a106f.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3e9f95c2.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_c4286b6f.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3465bdde.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_9696250e.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_89cfc5cb.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_979ca586.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_4ee6beb8.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_fb2ba3c1.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_5ed1694f.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_35316ab4.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_35becdab.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_1b80f488.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_287e9cf7.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_c17f0290.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_ba5750b4.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a316b368.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_acbbb020.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_a9a0ab48.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_5f3cf8ee.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_c4d2c7c1.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_3b1429c9.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_cb5de3c7.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_00e47337.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_433f985d.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_b529fce3.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_876eb7c8.npy,A,30,20260806_231949
dynamic_dataset\A\A_staticconv_20260806_231949_6f706692.npy,A,30,20260806_231949
